years_practice,school,name,title,graduate_year,specialties,insurance
15+ Years,California Graduate Institute,Anthony G Brailow,"Psychologist,, ,PhD",1989,"Depression,Child or Adolescent,Relationship Issues","Beech Street,BlueCross and BlueShield,CHIPA,Horizon Healthcare,MHN,TRICARE,TriWest,United States behavioral Health Plan Cal,UnitedHealthcare,ValueOptions"
30+ Years,United States International University,Sex Therapy and Sex Addiction Therapy San Diego,", ,PhD,Psychologist,FAACS,RN,CNS, ",1987,"Sex Therapy,Sexual Addiction,Depression",
,,"Julie Myers, PsyD","PsyD,MSCP,Psychologist,, ",,"Addiction,Anxiety,Trauma and PTSD",Out of Network
,,Becky McGinnis,"Counselor,MS,, ",,"Transgender,Autism,Borderline Personality","Cigna,TRICARE,Out of Network"
10 Years,southern california seminary,Gretchen Slover,"PSYD,LMFT,, ,Marriage & Family Therapist",2008,"Divorce,Family Conflict,Coping Skills","Ceridian,Cigna,MHN,Multiplan,TRICARE,TriWest,ValueOptions"
5 Years,"MA, Loyola Marymount University","Sarah Tippit, MA, AT, IMF, Reg. #75866","Marriage & Family Therapist Intern, ,MA,IMF, ,, ,AT",,"Obsessive-Compulsive (OCD),Anxiety,Trauma and PTSD",Out of Network
7 Years,California School of Professional Psychology,Matthew Weltsch,"Psychologist,, ,PhD",2004,"Relationship Issues,Mood Disorders,Gay","Aetna,BlueCross and BlueShield,Ceridian,Cigna,TRICARE,TriWest,ValueOptions"
21 Years,California Coast University,Sam Brumit,"PsyD,LMFT,, ,Marriage & Family Therapist",2016,"Relationship Issues,Life Coaching,Life Transitions","HSA's,Out of Network,TRICARE,Out of Network"
6 Years,University of San Diego,Jennifer Warkentin,"LMFT,MA,, ,Marriage & Family Therapist",2009,"Relationship Issues,Anxiety,Behavioral Issues","Aetna,Please call for insurance accepted,Out of Network"
7 Years,Duke University Medical School,Simone Litsch,"MD,, ,Psychiatrist",2002,"Depression,Sleep Disorders, Psychopharmacology,ADHD","APS Healthcare,Aetna,Anthem,Blue Care Network,BlueCross and BlueShield,Cigna,Empire BlueCross,Health Net,MHN,MHNet Behavioral Health,Magellan Behavioral Health,Medicare,Optum,TriWest,UnitedHealthcare,Out of Network"
30+ Years,University of Michigan,Martha Diamond,"Psychologist,, ,PhD",1983,"Relationship Issues,Child or Adolescent,Infertility",Out of Network
,,Ola Lokahi Support Services,"MFTI,MA,, ,Marriage & Family Therapist",,"Depression,Trauma and PTSD,Anxiety",Out of Network
10+ Years,,Ian Schere,"Psychologist,, ,PhD",,"Parenting,Substance Abuse,Child or Adolescent",Out of Network
,,Veronika Noble,"LMFT,MA,, ,Marriage & Family Therapist",,"Divorce,Family Conflict,Anger Management",
5 Years,Argosy University,Jamie Rarrick,"LMFT,MA,, ,Marriage & Family Therapist",2010,,
3 Years,Pacifica Graduate Institute,Diego Bobadilla,"Marriage & Family Therapist Intern, ,MFTI,MA,, ",2014,"Addiction,Anxiety,Depression",Optum
,PGSP-Stanford Psy.D. Consortium,Dr. Lauren Feiner,"PsyD,Psychologist,, ",2012,"Anxiety,Depression,Career Counseling","Anthem,Blue Cross,MHN,Partial reimbursement for ""out of network"" PPOs,Out of Network"
,,Tess Meissner,CCHt,,"Trauma and PTSD,Spirituality,Women's Issues",
10+ Years,Montana State University,Suzanne Koch Eckenrode,"NCGC-II,MFT,CCGC-II, ,, ,Marriage & Family Therapist",,"Gambling,Depression,Relationship Issues","APS Healthcare,Aetna,BlueCross and BlueShield,Cigna,Magellan Behavioral Health,Military OneSource,Optum,Other PPO Plans,TRICARE,TriWest"
20+ Years,National University,Luis Morones,"LMFT,, ,Marriage & Family Therapist",2001,"Spirituality,Coping Skills,Anxiety","Aetna,Alliance Work Partners,Anthem,BlueCross and BlueShield,Care Bridge,Core Health,ENI,Humana,TRICARE,TriWest"
6 Years,Alliant International University,Karolyn Johnson,"MFT,, ,Marriage & Family Therapist",2011,"Addiction,Trauma and PTSD,Relationship Issues",
15+ Years,,Bill Martin,"LMFT,MA,CSAT,, ,Marriage & Family Therapist",,"Sexual Addiction,Coping Skills,Relationship Issues",
8 Years,University of Michigan Medical School,Kayse Budd,"MD,, ,Psychiatrist",2002,"Spirituality,Life Coaching,Anxiety",Out of Network
10+ Years,NU,"Lilach Harris, MFT","MFT,MA,, ,Marriage & Family Therapist",1999,"Relationship Issues,Trauma and PTSD,Anxiety","Aetna,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Ceridian,Cigna,Health Net,MHN,MHNet,Magellan Behavioral Health,Military OneSource,Multiplan,Please call to find out if I accept your insurance,Post 9/11 Vets & Active Duty FREE,PreferredOne,TRICARE,TriWest,ValueOptions,Out of Network"
4 Years,Brandman University,Courtney Muir,"LMFT,MA,, ,Marriage & Family Therapist",2013,"Transgender,Bipolar Disorder,Borderline Personality","Cigna,MHN,Out of Network"
,,Jamie Frazee,"Marriage & Family Therapist Intern, ,MFTI,MA,, ",,,
,,Kristen LaMarca,"Psychologist,MA,BCB,, ,PhD",,"Relationship Issues,Sleep or Insomnia,Chronic Pain","Health Net,MHN,Medicare,Out of Network"
15+ Years,San Diego State University,Amy Bacani,"MFT,MS,, ,Marriage & Family Therapist",1999,"Relationship Issues,Eating Disorders,Gambling","Aetna,Health Management Concepts (HMC),Out of Network"
7 Years,American School for Professional Psychology,Abigail 'Abi' Weissman,"PsyD,Psychologist,, ",2013,"Transgender,Lesbian,Mood Disorders","Aetna,Medicare,Optum,TRICARE,Out of Network"
9 Years,Pacifica Graduate Institute,Dr Bren | Self-Mastery Coach,"Pre-Licensed Professional,, ,Phd",2011,"Relationship Issues,Life Coaching,Spirituality",
6 Years,San Diego University for Integrative Studies,Andrea Vielma,"LMFT,MA,, ,Marriage & Family Therapist",2009,"Addiction,Parenting,Depression",
7 Years,University of Missouri,Angela Klein,"Psychologist,, ,PhD",2009,"Eating Disorders,Self-Harming,Borderline Personality",Out of Network
10+ Years,University of Phoenix,Kara Kohnen,"LMFT,, ,Marriage & Family Therapist",2005,"Child or Adolescent,School Issues,Behavioral Issues",Out of Network
,Fuller Graduate School of Psychology,Professional Christian Counseling Services,"Th, ,LMFT,MA,, ,Marriage & Family Therapist",2002,"Spirituality,Family Conflict,Grief","Blue Cross,EAP Employee Assistance Group,ESI/EAP,TRICARE,Out of Network"
10+ Years,National University,Jamie Engwer,"MFT,MA,, ,Marriage & Family Therapist",2006,"Relationship Issues,Anxiety,Divorce","Aetna,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Ceridian,Cigna,MHN,TRICARE,TriWest,Out of Network"
20+ Years,San Diego State University,Michele R Manker,"LCSW,Clinical Social Work/Therapist,, ",1983,"Relationship Issues,Substance Abuse,Trauma and PTSD",
,Southern California Seminary,Paul Santero,"PsyD,Pre-Licensed Professional,, ",2011,"Trauma and PTSD,Divorce,Sexual Addiction",
10+ Years,Virginia Commonwealth University,Mary Wiggins,"LCSW,Clinical Social Work/Therapist,, ",2003,"Depression,Anxiety,Child or Adolescent","Cigna - out of network,Out of Network"
15+ Years,SDSU/UCSD,"Idalia Castillo-McGivern, SD Women's Psych. Serv.","Psychologist,, ,PhD",2000,"Trauma and PTSD,Women's Issues,Stress","Aetna,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,MHN,Magellan Behavioral Health,Medicare,TRICARE,TriWest,Out of Network"
5 Years,California School of Professional Psychology,Jennifer Busico,"PsyD,LMFT,, ,Marriage & Family Therapist",2011,"Anxiety,Depression,Domestic Violence","Blue Shield,Cigna,Mental Health Network (MHN)"
,,Ted Friedman,"LCSW,Clinical Social Work/Therapist,, ",,"Drug Abuse,Anger Management,Marital and Premarital","Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Health Net,HealthPartners,MHN,Magellan Behavioral Health,Medi-Cal,Medicaid,Medicare,TRICARE,Out of Network"
,,Kim Egel,"MFT,MA,, ,Marriage & Family Therapist",,"Life Coaching,Relationship Issues,Self Esteem",Out of Network
10+ Years,National University,Lighthouse Family Counseling,"MA,LMFT,Med, ,, ,Marriage & Family Therapist",1998,"Relationship Issues,Trauma and PTSD,Child or Adolescent","APS Healthcare,Aetna,BlueCross and BlueShield,Cigna,Health Net,Holman Group,Humana,MHN,Magellan Behavioral Health,TRICARE,TriWest,ValueOptions,Out of Network"
10+ Years,,Julie M Hayden,"PsyD,MACP, ,Psychologist,MRS, ,, ",,"Substance Abuse,Alcohol Abuse,Addiction",
15+ Years,Alliant International University,San Diego Psychological Center Inc.,"PsyD,Psychologist,QME,, ",2001,"Trauma and PTSD,Substance Abuse,Depression","AMERIGROUP,Blue Shield,Cigna,MHN,MHNet Behavioral Health,Optum,TRICARE,TriWest,Out of Network"
,,Lynn Lambkins,"MSW,ASW,Pre-Licensed Professional,, ",,"Life Coaching,Behavioral Issues,Relationship Issues",
20+ Years,George Washington University,Roderick S Hall,"Psychologist,, ,PhD",1994,"Child or Adolescent,Anxiety,Depression",Out of Network
10+ Years,SDSU,Krysten Rudy,"MFT,, ,Marriage & Family Therapist",1999,"Marital and Premarital,Stress,Mood Disorders","APS Healthcare,Aetna,Beacon,Behavioral Health Systems,Blue Shield,BlueCross and BlueShield,Ceridian,Health Net,Humana,LifeSynch,MHN,MHNet Behavioral Health,Magellan Behavioral Health,Multiplan,Optum,PacifiCare,TRICARE,TriWest,UnitedHealthcare,ValueOptions,Out of Network"
10+ Years,University of San Diego,Carol Simpson Dawidowicz,"MFT,MA,, ,Marriage & Family Therapist",2006,"Anxiety,Child or Adolescent,Marital and Premarital","Aetna,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Magellan Behavioral Health,PacifiCare,TRICARE,TriWest,UMR,UnitedHealthcare,Out of Network"
12 Years,George Washington University,Jada Cade,"PsyD,Psychologist,, ",2005,"Relationship Issues,Child or Adolescent,Trauma and PTSD","Anthem,BlueCross and BlueShield,Health Net,MHN,Magellan Behavioral Health,Medicare,TRICARE,Out of Network"
15+ Years,Wright State Univ School of Professional Psycholog,Madeline Polonia,"PsyD,Psychologist,, ",1999,"Child or Adolescent,Women's Issues,Parenting",Out of Network
10+ Years,U.S. International University,"Marjorie Sanchez, Marriage & Family Therapist","MFT,MA,, ,Marriage & Family Therapist",2001,"Relationship Issues,Anger Management","*No ofrecemos servicios de MediCal*,*PPO plans and TRICARE accepted*,Aetna,Anthem,BlueCross and BlueShield,Optum,TRICARE,UnitedHealthcare,Out of Network"
20+ Years,California School of Professional Psychology,Jeff P Jones,"Psychologist,, ,PhD",1988,"Relationship Issues,Anxiety,Depression",Out of Network
15+ Years,California Southern University,Connie Collins,"PsyD,LCSW,Clinical Social Work/Therapist,CADC-II,, ",,"Addiction,Trauma and PTSD,Domestic Abuse","Holman Group,TriWest,Out of Network"
10+ Years,University of San Diego,Positive Change Counseling Center,"PsyD,MFTs, ",2002,"Relationship Issues,Anxiety,Gambling","Aetna,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Ceridian,Cigna,Magellan Behavioral Health,Optum,PacifiCare,TRICARE,TriWest,UMR,UnitedHealthcare,Out of Network"
9 Years,University of San Diego,Nada Zein,"PhD,LMFT,, ,Marriage & Family Therapist",2007,"Relationship Issues,Depression,Family Conflict",Out of Network
8 Years,California University of Pennsylvania,Janelle Buchheit,"ACC,MEd,Counselor,, ,NCC",2006,"Life Coaching,Spirituality,Anxiety","FSA Accounts,HSA Accounts"
4 Years,San Diego State University,Kelly Williams,"MFT,, ,Marriage & Family Therapist",2014,"Child or Adolescent,Women's Issues,Marital and Premarital","TriWest,Out of Network"
8 Years,John F Kennedy University,Elham Sajed,"PsyD,Psychologist,, ",2012,"Family Conflict,Relationship Issues,Anger Management",
15+ Years,San Diego State University,Laurie Chapman,"LMFT,MA,, ,Marriage & Family Therapist",1994,"Relationship Issues,Trauma and PTSD,Substance Abuse",Out of Network
15+ Years,California School of Professional Psychology,Dan Galant,"Psychologist,, ,PhD",1999,"Addiction,Anxiety,Trauma and PTSD",
20+ Years,California School Of Professional Psychology,Cean Hollis-Smith,"MA,, ,CCTP,Drug & Alcohol Counselor,MAC,LCDC",1991,"Addiction,Marital and Premarital,Family Conflict",
8 Years,San Diego State University,Aisha Pope,"LCSW,Clinical Social Work/Therapist,, ",2002,"Relationship Issues,Divorce,Family Conflict","Aetna,Anthem,Ceridian,ComPsych,Horizon Healthcare,Magellan Behavioral Health,Military One Source,Military OneSource,Several EAPs,TRICARE,TriWest,ValueOptions,Out of Network"
15+ Years,"University of California, Irvine",Barbara Ann Smith,"MD,PhD,, ,Psychiatrist",1994,"Depression,Bipolar Disorder,Anxiety","I see patients on Saturdays only,My fee is $250/45 minutes,Statements are provided for ""out of network"" PPO,Out of Network"
4 Years,National University,Katie Santos,"LMFT,MA,, ,Marriage & Family Therapist",2013,,Community Health Group (CHG)
10+ Years,University of Georgia,Jim Carter,"Psychologist,, ,PhD",1998,"Anxiety,Depression,Addiction","All PPO's,UCSD Students - SHIP,Out of Network"
15+ Years,The College of New Jersey,"Mindful Matters Counseling, Marni Goldberg","MA,, ,LMFT,EdS,LPCC,Counselor",2000,"Anxiety,Self Esteem,Depression","Health Savings Accounts accepted,Superbill given for OON insurance reimbursement,Out of Network"
20+ Years,University of Maine,Amy K Montague,"Psychologist,, ,PhD",1987,"Women,Relationship Issues,Child or Adolescent",Out of Network
10+ Years,California School of Professional Psychology,Sean Hodges,"MSCP,Psychologist,, ,PhD",2002,"Trauma and PTSD,Anxiety,Depression","APS Healthcare,Aetna,BlueCross and BlueShield,CCN,Cigna,First Health,Health Net,MHN,Magellan Behavioral Health,Medicare,PHCS,PacifiCare,TRICARE,TriWest,ValueOptions"
30+ Years,State University of New York at Buffalo,Beth Gasparo,"MD,, ,Psychiatrist",1982,"Autism,Anxiety,Depression",Out of Network
10+ Years,Alliant International University,David Hahn,"PsyD,MEd,Psychologist,, ",2002,"Depression,Anxiety,Relationship Issues","Aetna,Beech Street,BlueCross and BlueShield,Champ VA,Cigna,Galaxy Health Network,MHN,Magellan Behavioral Health,Medicare,Mental Health Network,PHCS,PacifiCare,TRICARE,TriWest,UnitedHealthcare,Out of Network"
15+ Years,Columbia University,Nicole Kahn,"EDM,MA,, ,Marriage & Family Therapist",2001,"Trauma and PTSD,Anxiety,Codependency",Out of Network
30+ Years,San Diego State University,Susan Blansett-McAllister,"LCSW,Clinical Social Work/Therapist,, ",1980,"Depression,Relationship Issues,Anxiety","Aetna,BlueCross and BlueShield,Coventry,EAP programs,MHN,Magellan Behavioral Health,TRICARE,TriWest"
10 Years,University of California Irvine,Mark Melden,"DO,DABPN,, ,Psychiatrist",2005,"Medication Management,ADHD,Addiction","Aetna,Any PPO,BlueCross and BlueShield,Cigna,Magellan Behavioral Health,Medicare,PacifiCare,TRICARE,TriWest,UnitedHealthcare"
9 Years,Saint Mary's University,Angie Colter,"MA,, ,LMFT,Marriage & Family Therapist,MT-BC, ,CMT",2014,"Family Conflict,Relationship Issues,Life Coaching",Out of Network
5 Years,National University,Amy L Bell,"LMFT,MA,MS,, ,Marriage & Family Therapist",2012,"Trauma and PTSD,Addiction,Learning Disabilities","Blue Shield,Blue Shield of California,Health Net,MHN,MHNet Behavioral Health,Magellan Behavioral Health,TRICARE,TriWest,Victims compensation,Out of Network"
5 Years,National University/ MA Counseling Psychology,Brenna Rich,"LMFT,MA,, ,Marriage & Family Therapist",2012,"Child or Adolescent,Relationship Issues,Family Conflict","Cigna,TriWest"
30+ Years,California School of Professional Psychology,Peter LiBero,"Psychologist,, ,PhD",1983,"Relationship Issues,Anxiety,Depression","Aetna,Anthem,BlueCross and BlueShield,Magellan Behavioral Health,ValueOptions"
,,Achieve TMS: Free Consultation,Clinical Social Work/Therapist,,"Depression,Anxiety,Mood Disorders","Aetna,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Empire BlueCross,Free Insurance Check,Most Private Insurance Accepted,Optum,TRICARE,UnitedHealthcare,Out of Network"
10+ Years,University of San Diego,Marni Stueland,"MFT,MA,, ,Marriage & Family Therapist",1997,"Anxiety,Depression,Relationship Issues","Aetna,BlueCross and BlueShield,Cigna,Health Net,Most PPO Plans,TRICARE,TriWest"
,,Devon Berkheiser,"PsyD,Psychologist,, ",,"Addiction,Substance Abuse,Anxiety",
10+ Years,Bethel Seminary San Diego,Kerri Moehlenpah,"LMFT,MA,, ,Marriage & Family Therapist",2001,"Marital and Premarital,Relationship Issues,Infidelity","Optum,TRICARE,TRICARE Prime (In Network Provider),TRICARE Retired and Veterans (In Network Provider),TRICARE Standard (In Network Provider),TriWest,UMR,UnitedHealthcare,Visit thrive-at-home.com FAQs for more details.,We can bill PPO Plans as Out of Network Providers,Out of Network"
30+ Years,University of Pennsylvania,Jonathan M Kramer,"Psychologist,, ,PhD",1973,"Relationship Issues,Marital and Premarital,Life Coaching",
5 Years,Alliant International University-CSPP,Donna Rosko,"PsyD,Psychologist,, ",2009,,Out of Network
8 Years,National University,Terence L Shigg,"LMFT,MA,, ,Marriage & Family Therapist",2004,"Relationship Issues,Anger Management,Trauma and PTSD","BlueCross and BlueShield,TriWest"
15+ Years,San Diego State University,Karen Therese Wilson,"MSW,LCSW,Clinical Social Work/Therapist,, ",1991,"Eating Disorders,Mood Disorders,Relationship Issues","BlueCross and BlueShield,PPO's,PacifiCare,UnitedHealthcare,Out of Network"
30+ Years,Clark University,Louis Nidorf,"Psychologist,, ,PhD",1961,"Child or Adolescent,Anger Management,Anxiety","Aetna,Behavioral Health Systems,BlueCross and BlueShield,Cigna,ComPsych,Corphealth,First Health,Health Net,Horizon Healthcare,Interplan,MHN,Magellan Behavioral Health,PacifiCare,TRICARE,TriWest,ValueOptions,WellPoint"
33 Years,University of Cincinnati,Leon F. Seltzer,"Psychologist,, ,PhD",1983,"Anger Management,couples counseling,Addiction",Out of Network
10+ Years,San Diego State University,Helena Jayasuriya,"LCSW,Clinical Social Work/Therapist,, ",1994,"Child or Adolescent,Relationship Issues,Anxiety","Aetna,Victims' Witness & Government Claims Boa"
3 Years,University of San Diego,Ava Kharrazian,"LPC Intern, ,PCCI",2015,"Child or Adolescent,Anxiety,Self Esteem",Out of Network
,,Walk and Talk Therapy,"LCSW,Clinical Social Work/Therapist,, ",,"Coping Skills,Depression,Grief",Out of Network
6 Years,The Y.O.U. Institute,Haleh Gianni,"CYP,BS, ,MS,, ",2010,"Life Coaching,Relationship Issues,Divorce",
5 Years,New Mexico Highlands University,"Joe Sasson, LCSW","Lcsw,Clinical Social Work/Therapist,, ",2012,"Child or Adolescent,Parenting,Family Conflict","Magellan Behavioral Health,Out of Network"
46 Years,University of Michigan,Mitchell Ginsberg,"PhD,, ,Marriage & Family Therapist",1967,"Relationship Issues,Trauma and PTSD,Depression",
30+ Years,UCLA,Peter J. Lautz,"LCSW,Clinical Social Work/Therapist,, ",1981,"Depression,Relationship Issues,Grief","Cigna,Crisis Care Network,Out of Network"
,,Elvira Martin Del Campo,"LMFT,, ,Marriage & Family Therapist",,"Addiction,Mood Disorders,Dual Diagnosis",
20+ Years,Ball State University,Career/Life Planning,"NCCC, ,, ,EdD,BCC,LPCC,Counselor",1995,"Career Counseling,Testing and Evaluation,Women's Issues",
15+ Years,California Graduate Institute,Virginia Foster,"Psychologist,, ,PhD",1982,"Relationship Issues,Depression,Anxiety",
20+ Years,San Diego State University,Irene Saunders,"BCD,LCSW,Clinical Social Work/Therapist,, ",1985,,"Anthem,BlueCross and BlueShield,Cigna,MHN,Magellan Behavioral Health,Out of Network"
,San Diego State University,Nola Madelyn Butler-Byrd,"LPCC,Counselor,, ,PhD",2004,"Anxiety,Depression,Relationship Issues",
10+ Years,California School of Professional Psychology,Sean Hogan,"Psychologist,, ,PhD",1995,"Reality television casting psycholo,Anxiety,Depression",
20+ Years,United States International University,John Lee Evans,"Psychologist,, ,PhD",1989,"Anxiety,Depression,Addiction","Aetna,Anthem Blue Cross,Medicare,Out of Network"
15+ Years,UCLA,Shahin Sakhi,"MD,PhD,, ,Psychiatrist",2001,"Depression,Family Conflict,Marital and Premarital","Medicare,Out of Network"
10+ Years,University of Nevada - Reno,Kasi (Kazaran) Barkawi-Buck,"MFT,MA,, ,Marriage & Family Therapist",2005,"Child or Adolescent,Family Conflict,Coping Skills","Aetna,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Magellan Behavioral Health,PacifiCare,TRICARE,TriWest,UMR,UnitedHealthcare,Out of Network"
20+ Years,San Diego State University,Kathryn O'Brasky,"LCSW,Clinical Social Work/Therapist,, ",1988,"Alcohol Abuse,Child or Adolescent,Relationship Issues",Out of Network
15+ Years,San Diego State University,Esperanza Sanchez,"MSW,LCSW,Clinical Social Work/Therapist,, ",1997,"Anxiety,Trauma and PTSD,Depression","Aetna,Anthem,BlueCross and BlueShield,Cigna,MHN,Magellan Behavioral Health,Optum,PacifiCare,TRICARE,TriWest,US Behavioral Health,UnitedHealthcare"
8 Years,University of San Diego,Ann Marie Smith,"LMFT,MA,, ,Marriage & Family Therapist",2008,,"Blue Cross,Blue Shield,BlueCross and BlueShield,Regence,Out of Network"
,,Trish Eileen Vernazza,"ATR-BC,LMFT,, ,Marriage & Family Therapist",,"Infidelity,Relationship Issues,Gay","Some PPO's Accepted,Out of Network"
10+ Years,Smith College School for Social Work,J Heather Fitzpatrick,"LCSW,Clinical Social Work/Therapist,, ",2001,"Relationship Issues,Coping Skills,Child or Adolescent","Aetna,Anthem,BlueCross and BlueShield,CCN,Cigna,Empire BlueCross,GEHA,GHI,Health Net,Humana,MHN,Magellan Behavioral Health,Meridian,Optum,PacifiCare,TRICARE,TriWest,UnitedHealthcare,ValueOptions"
30+ Years,Case Western Reserve University,Maxine Seltzer,Clinical Social Work/Therapist,1978,"Life Transitions/Adjustment,Relationship Issues,Depression",on panels of various insurance companies
10+ Years,Karl Menninger School of Psychiatry and U of MO,Elizabeth R. Hudler M.D.,"MD,, ,Psychiatrist",2002,"Medication Management,Mood Disorders,Anxiety","Cigna,Out of Network"
7 Years,Alliant International University,Maya B. Klein,"Psychologist,, ,PhD",2012,"Anxiety,Depression,Relationship Issues","Aetna,Anthem,BlueCross and BlueShield,Magellan Behavioral Health,Medicare,TRICARE,TriWest,Out of Network"
30+ Years,San Diego State University,Cynthia Thayer,"BCD,LCSW,Clinical Social Work/Therapist,, ",1978,"Depression,Anxiety,Trauma and PTSD","Medicare,TRICARE,TriWest,Out of Network"
10 Years,Alliant International University,Nikoo z Sadatrafiei,"PsyD,LMFT,, ,Marriage & Family Therapist",2008,"Addiction,Behavioral Issues,Family Conflict","Blue Shield,Community Health Group- CHG,Medical"
27 Years,"Yale University,. Cornell, Univ Calif , San Diego","Kim A. Gutner, M.D., DFAPA","MD,DFAPA,, ,Psychiatrist",1989,"Depression,Trauma and PTSD,Child or Adolescent",Out of Network
10+ Years,Huron International University,Lynda R Ariella,"Psychologist,, ,PhD",2000,"Depression,Relationship Issues,Child or Adolescent",
3 Years,Pacifica Graduate Institute,Shannon Shapiro,"Marriage & Family Therapist Intern, ,MFTI,MA,, ",2012,"Self Esteem,Relationship Issues,Grief",Out of Network
15+ Years,,Kristen A Tolbert | Career And Executive Consulting,"MCC,Counselor,LMHC,EdD,, ",,"Career Counseling,Life Coaching,ADHD",
15+ Years,Western Seminary,Sam Moehlenpah,"LMFT,MA,, ,Marriage & Family Therapist",1998,"Marital and Premarital,Relationship Issues,Infidelity","Military OneSource,Optum,TRICARE,TriWest,UMR,UnitedHealthcare,ValueOptions,Visit thrive-at-home.com FAQs for details,We can bill PPO Plans as Out of Network Providers,Out of Network"
30+ Years,Stanford University School of Medicine,Thomas A. Gonda Jr,"MD,MFT,, ,Psychiatrist",1980,"Medication Management,Addiction,Anxiety",
30+ Years,United States International University,Diana Pickett,"MD,Psychologist,MA,, ,PhD",1977,"Bipolar Disorder,Depression,Anxiety","Blue Shield,Blue Shield of CA,BlueCross and BlueShield,Cigna,Health Net,Magellan Behavioral Health,Medicare,Out of Network"
,,Kimberly Lauro,"Psychologist,, ,PhD",,"Chronic Pain,Depression,Anxiety","TriWest,Will provide Super Bill to your insurance provider"
20+ Years,California Southern University,Linda S. Rose,"PsyD,LCSW,LPCC,, ,Licensed Professional Counselor, ",2014,"Relationship Issues,Depression,Anxiety","Aetna,Anthem,BlueCross and BlueShield,Health Net,MHN,Optum,UnitedHealthcare,Out of Network"
30+ Years,George Washington University,Charlene Hoar,Psychologist,1976,"Bipolar Disorder,Mood Disorders,Substance Abuse","APS Healthcare,Aetna,BlueCross and BlueShield,Coventry,Health Net,MHN,Magellan Behavioral Health,Medicare,Multiplan,Optum Health care,PacifiCare,TRICARE,TriWest,UnitedHealthcare,Out of Network"
13 Years,San Diego State University,Karen Loftis,"LMFT,CCH,MS,, ,Marriage & Family Therapist",2004,"Relationship Issues,Anxiety,Parenting",Out of Network
15+ Years,Santa Clara University,Peter Roussos,"MFT,MA,, ,Marriage & Family Therapist",1995,"Relationship Issues,Sex Therapy,Sexual Addiction",
20+ Years,UCLA,"Cognitive Therapy Institute, APC","Psychologist,, ,PhD",1988,"Anxiety,Depression,Obsessive-Compulsive (OCD)","A out of network provider,We submit the insurance claims for you,Out of Network"
7 Years,California School of Professional Psychology,Corinna Young Casey,"Psychologist,, ,PhD",2002,"Relationship Issues,Anxiety,Chronic Pain","Aetna,BlueCross and BlueShield,MHN,Medicare,PacifiCare,Pacific Foundation,TRICARE,TriWest,UnitedHealthcare,Workers Compensation,Out of Network"
15+ Years,University for Humanistic Studies/ CA,Claire Chateauneuf,"MFT,, ,Marriage & Family Therapist",1996,"Anxiety,Depression,Trauma and PTSD","Anthem,Behavioral Health Systems,BlueCross and BlueShield,Health Choice,Magellan Behavioral Health,Optum,PacifiCare,TRICARE,TriWest,UnitedHealthcare,Out of Network"
15+ Years,CSLB,Marsha Orman,"MSW,LCSW,Clinical Social Work/Therapist,, ",1997,"Relationship Issues,Depression,Anxiety",Medicare
30+ Years,Alliant International University,Sally C Huntington,"LMFT,, ,Marriage & Family Therapist",1982,"Relationship Issues,Depression,Anxiety","Aetna,Behavioral Health Systems,BlueCross and BlueShield,Ceridian,Cigna,Health Net,MHN,PacifiCare,TRICARE,UnitedHealthcare,WellPoint"
20+ Years,St. John's University,Noemi Balinth,"Psychologist,, ,PhD",1991,"Relationship Issues,Trauma and PTSD,Addiction",
8 Years,University of California San Francisco,Laura Wakil,"MD,, ,Psychiatrist",2007,"Mood Disorders,Anxiety,Women's Issues",Out of Network
10+ Years,Wurzweiler School of Social Work,Coast Care Partners,"LCSW,Clinical Social Work/Therapist,, ",1995,"Elderly Persons Disorders,Coping Skills,Child or Adolescent",Some Long term care providers
2 Years,National University,Tarina Griffin,"LMFT,, ,Marriage & Family Therapist",2007,"Emotional Disturbance,Relationship Issues,Anxiety","ACI Specialty Benefits,Aetna,American Behavioral,Anthem,Ceridian,Humana,LifeSynch,Medi-Cal,OptumHealth,PPO,TRICARE,Tricare-Standard or Reserve Select,Out of Network"
10+ Years,United States International University,Chad Hybarger,"PsyD,Psychologist,, ",2000,"Child or Adolescent,Anxiety,Obsessive-Compulsive (OCD)","Aetna,BlueCross and BlueShield,Ceridian,Cigna,Health Net,MHN,Magellan Behavioral Health,TRICARE,TriWest,ValueOptions"
5 Years,University of Miami Medical School,Carol A Koenigsberger,"MD,PhD,, ,Psychiatrist",2009,"Mood Disorders,Anxiety,Personality Disorders","Aetna,Anthem,Out of Network"
,,Randy Buckley,"LCSW,Clinical Social Work/Therapist,, ",,"Child or Adolescent,Family Conflict,School Issues","Ceridian,Cigna,Magellan Behavioral Health,Medicare,ValueOptions,Out of Network"
10 Years,Alliant International University,Rachel Vedder,"PsyD,Psychologist,, ",2015,"Depression,Trauma and PTSD,Anxiety","Medicare,Out of Network"
